application_id,organization_id,organization_name,industry_sector,region,application_date,loan_amount_requested_usd,loan_amount_approved_usd,loan_purpose,tenure_years,interest_rate_percent,collateral_value_usd,credit_score,risk_category,financial_health_score,annual_revenue_usd,net_profit_margin_percent,decision_status,relationship_manager_id,value_domain,data_segment,data_domain
APP100000,ORG20603,Wilkerson-Johnson,Manufacturing,West,2023-11-16,47885228.47,33999985.81325987,Debt Refinancing,2,12.12,59343414.53,680,Medium,1.12,85893273.96,38.73,Approved,RM8183,Risk,Origination Data,Origination Data
APP100001,ORG27113,Little PLC,Transport,Central,2024-09-28,26964898.83,0.0,R&D Investment,14,7.38,37512888.23,771,Low,5.81,50134819.36,35.29,Pending,RM8322,Risk,Origination Data,Origination Data
APP100002,ORG21190,"Hernandez, Nelson and King",Finance,South,2024-02-26,22528700.94,16380627.015905602,Debt Refinancing,10,6.65,15967374.55,859,Low,9.47,47732199.15,-2.46,Rejected,RM7435,Risk,Origination Data,Origination Data
APP100003,ORG28262,Campbell-Martin,Hospitality,East,2025-08-08,25382572.37,23094885.19836527,Business Expansion,8,12.99,24292849.82,415,Critical,7.61,86119424.26,36.56,Approved,RM9953,Risk,Origination Data,Origination Data
APP100004,ORG22718,Contreras-Fuller,Hospitality,Central,2023-10-21,45488313.54,40921036.08924375,Business Expansion,9,6.83,62238613.34,525,High,4.47,69578372.8,35.2,Pending,RM1978,Risk,Origination Data,Origination Data
APP100005,ORG20188,Pena-Jones,Transport,West,2024-07-14,49616612.16,34657398.72760507,Debt Refinancing,13,10.76,35333050.97,867,Low,6.1,43167709.91,9.72,Rejected,RM5282,Risk,Origination Data,Origination Data
APP100006,ORG25160,"Evans, Chapman and Johnson",Manufacturing,West,2025-08-12,11668824.87,9192947.968594566,R&D Investment,13,13.22,7398272.33,735,Medium,3.91,86700883.71,-4.95,Pending,RM2662,Risk,Origination Data,Origination Data
APP100007,ORG22819,Nichols-Thomas,Healthcare,Central,2024-07-23,3791621.52,2964346.821666945,Infrastructure Development,15,5.56,3349011.45,538,High,1.6,22489013.76,32.74,Approved,RM8500,Risk,Origination Data,Origination Data
APP100008,ORG25507,Walker-Tanner,Healthcare,Central,2023-10-23,8325664.44,7147101.916590773,Debt Refinancing,12,12.08,4423359.18,636,Medium,1.13,88011558.04,-3.05,Pending,RM4596,Risk,Origination Data,Origination Data
APP100009,ORG27833,"Tucker, Potter and Conley",IT Services,East,2024-11-22,29441089.7,28438073.99434693,Equipment Purchase,15,13.73,23474082.52,728,Medium,8.08,93251461.43,5.77,Pending,RM7255,Risk,Origination Data,Origination Data
APP100010,ORG22649,"Chung, Brown and Conway",Telecommunications,West,2025-07-22,27364592.62,23930771.88720582,Working Capital,5,8.02,23189626.88,820,Low,9.13,1573935.49,8.39,Rejected,RM6036,Risk,Origination Data,Origination Data
APP100011,ORG28205,Walker Ltd,Construction,West,2025-01-15,27036602.91,25747084.43657066,Equipment Purchase,4,10.77,22669569.67,782,Low,7.89,58839768.85,33.84,Approved,RM7559,Risk,Origination Data,Origination Data
APP100012,ORG21851,"Little, Martin and Edwards",Retail,Central,2025-03-28,49149520.74,34316348.87525124,Business Expansion,10,7.63,48774986.62,663,Medium,9.25,97469192.09,1.46,Pending,RM4616,Risk,Origination Data,Origination Data
APP100013,ORG27840,Porter PLC,Hospitality,West,2024-07-21,45207179.55,29458174.282718282,Equipment Purchase,11,4.61,33288518.41,685,Medium,6.1,94635554.58,19.19,Pending,RM3797,Risk,Origination Data,Origination Data
APP100014,ORG21607,Hall Group,Finance,South,2025-05-09,13367279.87,10055323.843642617,R&D Investment,14,12.09,15846528.07,478,High,9.65,91891462.12,-8.73,Approved,RM4415,Risk,Origination Data,Origination Data
APP100015,ORG29281,Callahan PLC,Telecommunications,North,2024-05-17,10259714.76,0.0,Infrastructure Development,6,13.12,14373525.67,361,Critical,7.19,14703903.37,-0.87,Rejected,RM2630,Risk,Origination Data,Origination Data
APP100016,ORG20983,Dorsey PLC,Finance,North,2025-05-20,30416689.12,20781992.08444363,Business Expansion,13,13.95,42346786.72,478,High,1.29,5473809.32,8.28,Pending,RM7287,Risk,Origination Data,Origination Data
APP100017,ORG26817,Harris-Thompson,Retail,North,2025-08-07,43846908.13,40268804.029107764,Debt Refinancing,6,10.45,28866107.36,476,High,8.02,96637416.31,18.87,Rejected,RM1576,Risk,Origination Data,Origination Data
APP100018,ORG29875,Cuevas Ltd,Telecommunications,South,2024-04-30,28904052.29,23512901.870624855,Debt Refinancing,14,12.05,38194147.69,543,High,3.3,15115394.23,2.91,Pending,RM3539,Risk,Origination Data,Origination Data
