trade_id,trader_id,trade_date,instrument_type,instrument_symbol,buy_sell_indicator,trade_volume,trade_price,trade_value_usd,counterparty,market,trade_currency,execution_platform,profit_loss_usd,settlement_status,region,value_domain,data_segment,data_domain
TRD100000,TRDR7314,2025-09-23 19:25:05,Bond,BON584,Sell,26663,1977.74,52732481.62,Alvarez Ltd,NYSE,USD,Manual,42447.22,Settled,Asia-Pacific,Enterprise,Trade Transaction,Trade Data
TRD100001,TRDR5840,2024-11-08 22:30:09,Derivative,DER881,Sell,79280,1488.06,117973396.8,Poole-Acosta,SSE,USD,Algorithmic,60634.25,Settled,Asia-Pacific,Enterprise,Trade Transaction,Trade Data
TRD100002,TRDR5194,2025-02-08 05:40:37,Bond,BON546,Sell,62477,542.8,33912515.6,Howard Ltd,NASDAQ,AUD,Manual,56311.85,Failed,Europe,Enterprise,Trade Transaction,Trade Data
TRD100003,TRDR4631,2025-02-02 01:03:04,Stock,STO908,Sell,96167,115.37,11094786.79,Wong-Anderson,HKEX,GBP,Electronic Platform,39264.09,Pending,Asia-Pacific,Enterprise,Trade Transaction,Trade Data
TRD100004,TRDR4647,2025-09-20 00:13:29,Stock,STO913,Sell,41740,373.88,15605751.2,Brown-Buchanan,JPX,EUR,Algorithmic,70028.01,Failed,Europe,Enterprise,Trade Transaction,Trade Data
TRD100005,TRDR3837,2025-01-15 11:03:22,Stock,STO346,Sell,7478,78.05,583657.9,Shepherd LLC,HKEX,GBP,Electronic Platform,61109.87,Failed,Middle East,Enterprise,Trade Transaction,Trade Data
TRD100006,TRDR4342,2025-01-03 20:11:27,Futures,FUT462,Sell,89631,1969.27,176507639.37,Shepherd LLC,NYSE,INR,Electronic Platform,78756.82,Settled,Middle East,Enterprise,Trade Transaction,Trade Data
TRD100007,TRDR5763,2025-06-22 16:23:40,Derivative,DER739,Buy,55620,25.23,1403292.6,"Humphrey, Powers and Garcia",JPX,USD,Electronic Platform,79271.4,Failed,Europe,Enterprise,Trade Transaction,Trade Data
TRD100008,TRDR4333,2025-07-25 13:47:19,Stock,STO347,Sell,73833,1490.05,110014861.65,Rodriguez-Garcia,HKEX,USD,Electronic Platform,-34192.71,Settled,Asia-Pacific,Enterprise,Trade Transaction,Trade Data
TRD100009,TRDR8135,2025-04-20 14:33:56,Bond,BON371,Buy,81027,222.72,18046333.44,Stevens-Hernandez,SSE,CNY,Manual,77519.53,Pending,South America,Enterprise,Trade Transaction,Trade Data
TRD100010,TRDR8898,2025-02-13 07:35:25,Derivative,DER404,Sell,62201,1894.58,117844770.58,Howard Ltd,Euronext,JPY,Manual,-38836.46,Failed,Middle East,Enterprise,Trade Transaction,Trade Data
